username,num_posts,date_posted,date_experienced,rating,review_title,review_text
Ramzi Traboulsi,464,Oct-18,Oct-18,20,Disappointing ,"We went there with high expectations but unfortunately most of it was closed and we went in anyways and saw basically three art designers with like a few work , maybe it was not the best time to visit it but we were disappointed"
,,,,,,
Annie C,56,Oct-18,Oct-18,50,Contemporary Art,"President's Young Takents 2018 is on till end of the year before the museum closes for its revamp. Thought-evoking and fascinating art even for amateurs, they are for those who love to learn about the varied degree of affordable of different materials and methods for art. It's relaxing and inspiring. I hope the museum will consider to host more activities for the visitors to interact with the artists to understand the thought and processes in their art productions."
,,,,,,
ajesuspedro,34,Oct-18,Sep-18,10,"Evaluation is related to frustration, not to SAM itself","After some walking under a hot sun, some doubts over the map, ....a guy at the main entrance informed the museum will be closed for a period o two years..."
,,,,,,
Michael G,33,Oct-18,Oct-18,40,Singapore Art Museum for Kids,"We only went to the Future exhibit which is essentially all about the kids. There are 8 interactive displays which our kids loved. There Mare three displays where the projected display moves around this kids, ex a waterfall and if they stand it front of it it goes around them. There are 2 displays where you can color in various pictures such as cars and ships and then scan them. The picture is then displayed on the big wall. Kids got a kick out of seeing their picture up in the wall. A good way to pass 2 or 3 hours."
,,,,,,
Jimmy168,297,Sep-18,Aug-18,50,Old world charm building that was a mission school before.,"Well lighted, clean, spacious and feels good. Good place for photography, an evening stroll and even an afternoon cuppa."
,,,,,,
ahliao,428,Aug-18,Aug-18,30,A good mixture of oldies n futuristic,"Small muesum, well sectioned.<br/>Like level 1 the most particularly the painting of singapore map on the wall, specifically showing some prominent landmarks.<br/>Free admission to everyone on Friday, 6-9pm"
,,,,,,
Jose S,84,Aug-18,Aug-18,10,"Closed,we did not know","We wantend to visit the museum today but we were told at the entrance that it is closed for 3 years. Unfortunately we did not know, we had been walking from our hotel.. there is some exhibition in the national museum that we visited earlier.<br/>There is a special exhibition for children that is still open."
,,,,,,
yoyo d,30,Jul-18,Jul-18,50,I loved it so much,"This place is awesome, i loved it so much the marvel museum. And this place attached to mal marina bay sands which is we are easy to find places to have lunch or dinner. We use public transportation to get here and it was bery easy, we take bus from garden by the bay only 15minutes."
,,,,,,
andrewtanjr,406,Jul-18,Jul-18,50,An iconic building located near Orchard,"You should come visit Singapore Art Museum if you are visiting Orchard Road. It’s located nearby at Bras Basah.<br/><br/>SAM is perfect for tourists visiting Singapore for the first time to learn more about Singapore’s history and heritage. It is situated at an iconic colonial building where it’s an experience for you to enter a preserved historic building in Singapore.<br/><br/>SAM is opened daily 10am-7pm with the exception on Friday which will operate from 10am-9pm. It costs $6 for Adults and $3 for Senior Citizen and Students. Free for children as well.<br/><br/>SAM also provide conplimentary guided tours in English, Mandarin and Japanese at selected timings and days."
,,,,,,
Andy Liem,300,Jun-18,Mar-18,40,Beautiful icon ,"You can visit here for study and sightseeing. Very cool, cozy, comfy. You can get knowledge here. Fit for backpacker also"
,,,,,,
Paul B,22,May-18,May-18,20,Main museum closed. Annex (Q8) waste of money,"Unfortunately we found that the main museum is closed for renovation until 2021. The Q8 Annex is open, but costs the same as it would for the main museum even though it’s about a 10th of the size! Ok so it’s not a huge amount of money (6 SGD) but seems a ripoff to me!<br/><br/>The Q8 annex exhibitions are small and not very interesting in my opinion (not helped by the fact the place was overrun by small children running everywhere too!) <br/><br/>Personally I would save your money and put it towards the National Gallery or National Museum."
,,,,,,
PushExplore,"4,300",May-18,Jun-17,50,Excellent Exhibition,"The SAM is conveniently located bear Bras Basah and within walking distance from Dhoby Ghaut. The building is colonial style and looks grand. There are also several eateries which are quite popular. If you are an art fan, you'll surely find something or the other art fair going on here."
,,,,,,
Martin and Sue C,685,Apr-18,Mar-18,40,Good exhibitions,This is a big building and is a little confusing with it's layout. Pick up a map at the start and try to follow it ! There are some stunning interactive exhibitions on the ground floor and a good range of ancient and more modern art work.  The cafe on the ground floor is clean and the food is OK. The bar on the top floor has good views over the local cricket ground and is a great place to sit on the balcony for a cocktail. It was a surprise to find such a bar in the gallery.
,,,,,,
Anushree P,5,Apr-18,Jan-18,50,Art | History,Worth a visit once you are in Singapore. Near to Orchard Street and well connected with MRT &amp; buses as well.
,,,,,,
DC2florida,382,Apr-18,Apr-18,10,Closed -- not obvious from web pages!,"Sadly found this is closed -- with signs to an annex (Q8) that was supposed to be open...but was also closed until the next exhibition begins. Really odd not to have this information appear on the main web page, but it is not even clearly noted on the Visit web page either, which is very disappointing."
,,,,,,
Flitz8,"2,251",Apr-18,Apr-18,30,Architecture exhibition,At moment there is only exhibition of architecture on as main museum will only reopen in a few weeks
,,,,,,
dcrawford10001,422,Feb-18,Feb-18,50,Worth visiting !,A great art museum and certainly worth going to see when in Singapore.  <br/><br/>Staff were friendly and helpful.<br/><br/>Toilets spotless.
,,,,,,
CraigM88,168,Feb-18,Feb-18,30,OK Museum,"When I visited the main building was closed and it was just the Cinerama exhibition that was open. It’s an ok exhibition, but it feels more like visiting a small gallery than a major museum. Perhaps it will be more worth a visit once the main building and permanent exhibitions reopen after the refurbishment is complete."
,,,,,,
ngg999,179,Jan-18,Jan-18,50,Worth Visiting,We were here in January and had the pleasure of seeing the Impressionist display.  This is a lovely gallery.  Plan on spending several hours to enjoy the full experience.
,,,,,,
LittleMissMelly,282,Jan-18,Jan-18,40,Exhibition: Cinerama,"Unfortunately the main building wasn't open so my admission (S$6)was only for the exhibition Cinerama. <br/><br/>Rooms on different floors featured the different artists. <br/>To my surprise, there wasn't very many visitors... but it was ok for me as I got to take my time in each area.<br/><br/>All that was featured was definitely unique.<br/>AK-47 vs M16, the film was an incredibly powerful piece. <br/><br/>Can highly recommend a visit no matter what the main feature is for an exhibition, as there is also the main building housing many more works of art (which I will save for another rainy day)."
,,,,,,
Joseph G,5,Dec-17,Dec-17,50,Great institution. Amazing show,"I went to see the ""Cinerama"" exhibition featuring Singaporean Artist Ming Wong.<br/><br/>Excellent show.<br/><br/>This is a great first stop if you are exploring the art scene as this is a contemporary art gallery/museum dedicated to art and ideas. This proves a good remedy to the very commercial art stuff you see in the mall ""galleries"".<br/><br/>Staff are extremely friendly/chatty and happy to advise on other places to visit.<br/><br/>Entry is a few $Singapore for non-Singaporean visitors.  <br/><br/>I would spend at least an hour here. I spent the afternoon as the then current show was video work and required more time."
,,,,,,
KGB777,"38,102",Dec-17,Dec-17,20,Temporarily closed,Returned here yesterday without first checking if it was open. Unfortunately it wasn't: apparently it is temporarily closed in order to prepare for something else. But around the corner at 8 Queen street there is the Cinerama exhibition. This is a fairly small exhibition of contemporary cinematic techniques. We took the kids along but they weren't really that interested.
,,,,,,
Nigel G,"6,413",Dec-17,Dec-17,20,Closed but Cinerama Section Open,"Singapore Art Museum is housed in the wonderful old building that used to be a school. In fact, I have mentioned before that the building was more beautiful than the art it contained.<br/><br/>It's closed for three years for renovations - so hopefully they will find some interesting items to include.<br/><br/>Across to the road to Cinerama - still part of SAM. <br/><br/>Video is not my Favourite form of art and I have limited appreciation. Notwithstanding some of the exhibits may appeal to some, whilst others were I believe universally boring.<br/><br/>Tromararama by Zsa Zsa Zsu - tales of button kaleidoscope effect  - but with a fascinating element of amusement. Worth 10 minutes or so. <br/><br/>A white white day by Sharma - 2 minutes should suffice. Or you could skip it.<br/><br/>The propeller group give the presentation of a bullet shot through a gel substance. It also shows when two bullets meet. I remember encountering this methodology in forensic pathology many years ago, but the gel blocks serves to amuse and with altered lighting has appeal. <br/><br/>There is a film of 41 minutes duration full of non stop killing. It features comparisons of an AK-47 and a M16. The video is a composition of snippets from war films and features various conflicts. Some glorify war , some portray one sidedness. I am a pacifist and find war obnoxious - did I learn anything. Sure, it confirmed my original view that war was pointless and a process in which there are only losers and no winners. Gratification from killing and its amusement value is abhorrent - but that's just my opinion. Nice seating if you need to rest. <br/><br/>Sarah Choo Jing - Wear You All Night. Not if I have any say you won't!!!! Reminded me of being married - yucks! Summing up, it was histrionics and ritualism throughout, the kind of negativism local women exert when they don't get their own way. Miserable and dismal - my advice to the pair in the movie - get a divorce, get a life and enjoy. You only live once, so enjoy hedonistically. <br/><br/>Ming Wong: Making Chinatown - ridiculing relationships again. Boring.....<br/><br/>Nothing else worth a mention!<br/><br/>$6 entry. Free for locals - it would have to be as locals wouldn't go otherwise. Fair air conditioning. No elevator. Friendly and informative gallery guides. Overall - needs a breath of fresh air."
,,,,,,
Joelle S,22,Nov-17,Nov-17,30,Closed: New installation starting 17Nov,"The art museum is closed until 17Nov as the newest installation is being set up. I believe the new exhibit goes through December some time but if you're traveling in the next two weeks, save yourself the trip."
,,,,,,
Kathleen2899,592,Sep-17,Sep-17,40,Worth visit with guided tour,Our friends took us with a guided tour. Fantastic and definitely worth a visit. <br/><br/>The guides are volunteers and very enthusiastic. <br/><br/>The building itself is worth a visit as it was an old colonial building.
,,,,,,
"Dr. H. C. Matthew Sim, PhD",383,Sep-17,Oct-16,50,Must visit by Tourists - Good local paintings,Review by Dr Sim. Recommend that tourists visit this museum. Many paintings. Old restored building. Used to be a school. Nice walk through air-conditioned environment.. Regards DrSim001.
,,,,,,
Poohe,103,Sep-17,Sep-17,40,"Singapore Art Museum is the nice place for relax, walking and enjoy the art.","When you arrive in Singapore Art Museum, you will find the beautiful building in front of you like you are in Europe. Around of art museum has food court, coffee shop and mini garden for rest and relax. This place also very good for wedding &amp; couple photo taking."
,,,,,,
StevoHughes1,208,Aug-17,Jul-17,40,Worth a visit,The main building is closed for renovations but the museum still exhibits in a smaller space - adults S$6.  Interesting interactive installations by Asian artists and some great short films. Allow 1 to 2 hours for current exhibits.
,,,,,,
besttourinvungtau,358,Aug-17,Aug-17,50,More interesting than I would thought.,Four or five floors packed with art displays by artists from all over the world. It was time well spent. Very hands on.<br/>I understand that it is a temporary facility at the moment. The main old colonial building is being revamped. Take the kids.
,,,,,,
sunokp724,202,Aug-17,Aug-17,30,Great play ground for fairy tale,"6$ paid admission for adults and 3$ for students at the SAM 8Q.<br/>It's not big enough. <br/>I found 7 hidden art works of small mushrooms at the corridor, hall, stairs, doorway and so on.<br/>The place is like play ground with creative storytelling activities for children."
,,,,,,
MN8888,"1,330",Aug-17,Aug-17,20,"Too many exhibits with ""no touch "" policy at 8Q","We visited SAM at 8Q for kids and with an autistic child, and 3 kids the museum had roo many rooms with a no touch policy . My poor child could ntoveveb drink from a water bottle at a table activity with many guards telling kids off constantly <br/>The visit proved more stressful than necessary and would suggest more interactive rooms"
,,,,,,
shinraemonsam,"1,078",Aug-17,Jun-17,30,HAS BEEN TEMPORARILY CLOSED FOR SEVERAL MONTHS,"You can go around the corner to 8Q, but this is rarely worth doing. SAM's main building is worth visiting when open, for both the art and the old school (1850s) former Catholic school it resides in. <br/><br/>Check the website first though, as the security could only tell me SAM was closed ""until further notice"". <br/><br/>Champions."
,,,,,,
NeilandBarbara,"3,290",Jun-17,May-17,30,Confusing layout,"It was Museum Day, so the entrance was free. I'm glad, as I would have been disappointed if we'd paid. We found the layout very confusing and the art average at best. We would not rush back."
,,,,,,
Carolina L,186,Jun-17,Jun-17,40,Imaginarium exhibition,"We go to SAM at 8Q. They have imaginarium exhibition. So colourful. Love the exhibition. Actualy the building is small. We spent about 1,5 hours for all the exhibition."
,,,,,,
Ethel_Sha,250,Jun-17,Jun-17,40,Good for contemporary arts lovers,"The main museum was closed during my visit, which was a pity. Hence, I paid my visit to SAM at 8Q, which is free after 6pm on Fridays.<br/>At the moment, they are having a theme ""Imaginarium"" and the art pieces showing were thoughtful, you may find some meanings inside those artworks. Yet, as it is now Children's Season, the museum may have kids around and it maybe a bit too noisy to appreciate the artworks quietly."
,,,,,,
Evan L,734,May-17,May-17,40,Some interesting exhibits,"I came here with my 4yo for the Imaginarium. There are some interesting exhibits, but the one that she loves the most is a series of tiny photo's of Singapore embedded in resin scattered over a wooden floor. She borrows my phone and runs around taking 100's of photo's of them. And I'm not exaggerating. Worth visiting."
,,,,,,
ancyancy,452,May-17,May-17,50,Great depending on the current exhibition,"It is not a big musuem. So I would not plan on spending more than a couple of hours there.<br/><br/>Always check the hours and the current exhibition that is going on before going. This month (May 2017), the main building of the museum is actually closed for exhibition. Only the annex at 8Q is running Imaginarium."
,,,,,,
Xin R,"1,171",May-17,May-17,40,Main Building Closed,"The Singapore Art Museum consists of 2 buildings. The main building is now closed for a revamp that is slated for completion in year 2021. The second, smaller building known as SAM at 8Q is still open.<br/><br/>The current exhibition at SAM at 8Q is a children-focused exhibition titled Imaginarium: To the Ends of the Earth and is spread out across 4 floors. The exhibition is somewhat interactive in the sense that you can walk around and at times hunt for the installations. There are also some ways to be involved; one installation allows visitors to use an app to draw, and another invites visitors to create their own Floating Mountain using an egg carton. <br/><br/>Apart from the installations, SAM at 8Q also has a theatre called Moving Image Gallery that screens short films related to the current exhibition. I particularly enjoyed the animated short films.<br/><br/>Tips:<br/><br/>1. The Singapore Art Museum is 2 minutes' walk from Bras Basah MRT Station.<br/><br/>2. Since this is a small building, you can probably spend 1 to 2 hours here.<br/><br/>3. You can include SAM at 8Q as part of a museum tour, since other museums like Asian Civilisations Museum, National Gallery Singapore, and Singapore Philatelic Museum are all within walking distance.<br/><br/>4. There is an exhibition guide available for download at the official Singapore Art Museum website, which you can use to gauge your level of interest. If you would like more activities for children to participate in, check out the events and workshops."
,,,,,,
belladinavictoria,8,May-17,Jan-17,40,Definitely Worth a Visit!,"So, initially I had planned to go visiting some museums and art exhibitions in Singapore with this museum made it to the list. The exterior is so huge and cool! In this museum, they'll give you a sticker that you have to remember putting it in a visible area around your body throughout the visit. So each of the room's guard will be able to verify you as a visitor. I happened to go there around the Singapore art week (suprisingly). I think there was some kind of event held there that they even prepared some kind of free snacks for the visitors to grab. For the artwork itself, honestly I barely have knowledge in arts and exhibitions, but I do enjoy them. So far, I really enjoyed my visit there and every spot is picturable. I took tons of pictures in the museum. My most favorite room of this museum was the mirror room. It was really pretty! Even though everything was turning around and we had to share the small space with other visitors, but I love it. The entrance fee was also so much affordable compared to the art science museum. Of course, the two museums have different theme and purposes, but I guess you will enjoy this museum more if you like the conventional way of museums."
,,,,,,
SportsMom_11,103,Apr-17,Apr-17,40,Closed until first week of May 2017,Walked to the museum today from the JW Marriott to find it is closed until May 6th I believe. The security guard said they are changing an exhibit. I recommend checking on the hours before heading out.
,,,,,,
Kxitingk,110,Apr-17,Jan-17,40,Interesting place,"There are different events going on from month to month, really interesting artwork. Place is suitable for adults, adults with kids or just solo travellers."
,,,,,,
Merilyn_S_12,"1,047",Apr-17,Jul-16,40,An Amazing Building,"This is a very kid friendly space. They even have a separate room for kids to explore art.  The exhibition I saw was stellar, and it was a great space. It was smaller than expected.  Staff are friendly, and it's easy to walk around. Even someone with a disability could get around this place."
,,,,,,
Anna R,571,Mar-17,Mar-17,40,Must come back another time!,"The entry was free when I visited - for reasons mentioned by previous reviewers, parts of the museum were vacant.  I actually quite enjoyed walking through the empty rooms - the building itself is a landmark, it used to be a Catholic school. A lovely surprise: while exploring the building, I came across the little museum shop and was open, selling quirky gifts and books.<br/>Will definitely revisit the SAM next time."
,,,,,,
thorpedo,222,Mar-17,Feb-17,40,Excellent contemporary art,"If you like contemporary art, this museum is highly recommended.  A very short walk from Dhobi Gaut MRT station.  It is actually located in two buildings, though I suspect many people find the main building is enough.  I went to both buildings, which was really worthwhile.  Both are very well laid out with room for quiet contemplation of interesting displays and interaction with multimedia pieces. Excellent toilet facilities and lift access available, but sadly lacking a decent cafe.  There is a fast food place near the second building, but with the sorts of people visiting this museum a better shop and cafe would be a boon."
,,,,,,
EugenieNini,50,Mar-17,Feb-17,40,Peaceful respite ,"Not only is the building beautiful, the art displays were thought provoking and interesting. Many of them was interactive. <br/>A big installation had just finished the day before I arrived, so there was only 3 halls open to visitors - all the staff apologized for this though it certainly wasn't their fault. They were all very friendly and knowledgeable. <br/>Entry was free ( possibly because there was only 3 halls open) <br/>If you are looking to spend some time out of the heat and bustle of the city- this is perfect!"
,,,,,,
ejmjohns2n,6,Feb-17,Feb-17,50,A must-visit but maybe once the restoration is complete,Wonderful gallery for Contemporary Southeast Asian Art. Currently having some restoration in parts of the building so check the website for exhibitions.
,,,,,,
XavTravels,11,Feb-17,Feb-17,50,An Atlas of Mirrors,An Atlas of Mirrors is an exhibition. Went there with my school for a field trip.  It's a great place to visit if you admire and appreciate art. (There's one part where only 18 year olds and above can enter though)
,,,,,,
Thomas Q,32,Feb-17,Jan-17,30,Local Art in a colonial school building,"The artists are mostly from around the Singapore/Malaysia area.    There are nothing from Europe or the Americas as one would expect.   I, myself didn't feel engaged with the art, but that could be just me.     I wasn't bowled over by the displays.  One occupied a rather large room and was filled with burnt out wood pieces, supposedly resonating some ecological message?   This is just one example where I failed to see the artistic value in the exhibition.    The good thing about this museum is the building itself.    In its former life, the building was a school for girls, if I recall correctly."
,,,,,,
HuwanaB,373,Feb-17,Dec-16,40,It's a different experience.,"They have nice facility. We did not get to appreciate all the artwork because of time constraints in our schedule. It is worth the visit. The art pieces were very different, very creative, entertaining and creepy at the same time. Our 9 year old daughter got to appreciate it. Locating the exhibits in an orderly manner is not that easy. Some exhibits are for adults viewing only."
,,,,,,
MarkWong007,803,Feb-17,Jan-17,50,"Great Art Exhibitions, great building.","the main reason went to Singapore was to see this Biennale art exhibition and we were impressed. The exhibition is interesting, challenging and unique. Many installations are side specific meaning they can't move to other places which make it so unique. The building itself is a gem, it has been ver well preserved and air con so is good for any weather. There are so many rooms and many floors so make sure you get a map before you started to explore. The exhibition by disadvantaged kids which is up on the 3 rd floor right at the back of the building is very touching , we can see the kids making art with their mentors. This make me feel pretty lucky to have a healthy body."
,,,,,,
Anne L,30,Jan-17,Jan-17,40,Nice time,"We have visited this museum with our 4Y son. Some rooms could be more full but we took very nice pictures of the pieces of art with our son in the middle. We had a nice moment, far from the rush of the center town."
,,,,,,
thaitravellers,272,Jan-17,Jan-17,50,"Even If Your Not The Arty Type ,, This You Should Not Miss ,,, ","One of the easiest locations to find ,, directly out of Bras Basah MRT station ,, You are There ,,, <br/>Staff Helpful and Welcoming, <br/>The enclosed Pictures  can not do the experience,,  justice,, as impact and Sensory  experiences of exhibits and installations were lasting. <br/>My only criticism, is that , the galleries are spread out , on different levels , and not wanting to miss anything ,, doubting myself , looking at the map , just wish there were a continuous route line with arrows the floor , to direct you to all the galleries, ensuring you have not missed anything."
,,,,,,
natcharee h,89,Jan-17,Jan-17,50,Informative &amp; helpful staffs,I visited the museum for the Singapore Art Biennale. It was such a great exhibition as there are deep and meaningful message in works. Love the staffs as they are well-trained so they can explain the works' concept and detail. The museum also has many lockers to deposit your belongings while enjoying works of art.
,,,,,,
Michael C,267,Jan-17,Jan-17,50,Great Art Shows,We went to the Biennale and the experience was great. Staff are very friendly and helpful which makes such a difference! We also ate at the cafe there and the food was fantastic!
,,,,,,
Ida B,763,Jan-17,Jan-17,50,"Need Comfy Shoes To Explore, Explore, and Explore....","A really lovely surprise for me to learn that Singapore has an equally high quality art museum, as I normally only enjoy art museums in Amsterdam or London or New York City or Washington DC. <br/><br/>So very happy to explore this museum, even the museum offers fun interactive ways in engaging me to learn the history of each art object. The museum makes it a fun and amusing place  to be at. Far from being boring. I needed more time, the next visit, I will make sure to be alone, and spend the whole day here, I hope.<br/><br/>I recommend those who would like to enrich themselves with the art world and find out that you do have the artistic flare in you, surprise yourself! There will always be the temporary exhibitions too. They are usually popular ones. Not to be missed.<br/><br/>I did not get the impression that the museum was old nor stuffy - on the contrary, I felt it was a pleasant, clean, and orderly. Easy to find your way around - the guidance and tours are there too, if you need it."
,,,,,,
ronsacher,2,Jan-17,Jan-17,50,Excellent museum of thought-provoking art,"If you like modern art with a message, this is a must-see museum.  Artists from throughout Asia with extremely innovative, beautiful, and mind-challenging pieces of art.  I was not expecting this caliber of works."
,,,,,,
Arrniemac,92,Jan-17,Jan-17,50,Fantastic staff!,"Went to see the Biennale which was really really interesting anyway, but I was amazed by the level of interaction from very friendly and informative staff. I've been in art galleries all over the world and not had such well directed info. The building is small and beautiful in its colonial self, which makes the shows a compact experience. Be careful to keep going round the corners.....we nearly missed a chunk of rooms! It's over in March I think and is really worth it to see what contemporary artists of the region are up to."
,,,,,,
monaHungary,985,Dec-16,Mar-16,50,one of my favorite places in Singapore &lt;3,"Being a fan of contemporary art I loved this museum a lot! At the time of our visit „5 Stars: Art Reflects on Peace, Justice, Equality, Democracy and Progress” exhibition was taking place saluting to Singapore’s 50 years jubilee and the five stars on the Singapore flag, representing universal humanist values.<br/><br/>I was highly impressed by „No Man” a 15 min six channel video installation with sound presented by Ho Tzu Nyen dedicated to Justice. It was the first stop of our visit. (After the guided tour I went back to experience this wonder again.) It is hardly impossible to describe my feelings about this masterpiece as it was so shocking and deeply moving. I still kept thinking of it after several months…. Special thanks to Ho Tzu Nyen for these miraculous moments.<br/><br/>Usually we prefer to discover places on our own but this time we decided to take a guided tour. What a great decision! Our guide was knowledgeable providing whole-hearted presentations of the items on display which added a lot to our tour in this great place.<br/>I wish I could visit this museum again in future."
,,,,,,
vipi0017,634,Dec-16,Apr-16,40,Good but small,Overall a nice experience but there are not so many collections .Can visit if you are in the neighborhood
,,,,,,
LuluKaimook,176,Dec-16,Dec-16,30,The exhibition is great but the mirror stair was closed during our visit,"The museum was not too crowded and there was an atlas exhibition going on during our visit. However, the mirror stair  was closed so we had only a glimpse shot of it. The rest of museum are okay, maybe i'm not an art-fan after all."
,,,,,,
1234_10,163,Dec-16,Dec-16,50,Great contemporary art museum,"I met a friend who lives in Singapore here, &amp; we both thoroughly enjoyed our visit. The museum houses contemporary art in a colonial building, which offers an interesting contrast. Currently, they have a Biennial exhibit, which was a terrific compilation of Southeast Asian art. They offer free guided tours in English, which added to the experience. We viewed many of the works before the tour and achieved a deeper understanding when we returned with the tour guide."
,,,,,,
mynewlifeistravel,"2,454",Dec-16,Dec-16,50,Very cool ,"We went here for some of the interesting displays from local and international students, some varying in ages up until 75. The displays provided various aspects of what they interpreted images and designs, was mind boggling."
,,,,,,
Alia,50,Nov-16,Nov-16,50,Artsy brain stimulator,Visiting this museum really stimulates the artsy section in your brain! I love how they are sooo many installations from various artists around Asia.<br/><br/>There are 2 buildings thats separated so don't forget to go to the smaller one across the street - the exhibtion therr is really is as wonderful as the main building.
,,,,,,
kuepper,"1,284",Nov-16,Nov-16,40,Very different,A new experience for me in staff invigilating actively engaging with you offering to answer questions about  exhibits.
,,,,,,
Terri C,108,Nov-16,Oct-16,50,Very different and interesting art,A half day out of the sun and heat.  Some really interesting and inspired pieces of art.  My daughter has an interest in studying art and this exhibition helped her to understand that art is in everything.  Really worth the visit.
,,,,,,
div106,505,Oct-16,Aug-16,50,Awesome experience,We went there for an exhibition - 'Imaginarium' and the experience was very good and enriching. It was quite informative and the exhibits were very interactive and beautiful. there were several short films on display there which were quite touching. Recommended for kids.
,,,,,,
w0rldwanderer,38,Oct-16,Jun-16,40,SAM at 8Q,"When they hold the special kids event at 8Q every year, we make it a point to go coz it's good fun for the kids. Lots of hands on activities , they get to doodle on the wall, do origami and other handicraft , 'play' with interactive art installations... Usually spend 2 hours. It's free for Singaporeans n SG perm residents : )"
,,,,,,
Nathan1000,927,Sep-16,Sep-16,10,Preparing for an exhibition so nothing to see,"As the place is being set up for the Biennale, there really is nothing on offer at present. Perhaps 30 pieces, mainly photos. Nothing special at all. frankly, a waste of 30 minutes."
,,,,,,
Luis S,36,Aug-16,Aug-16,30,"Disappointed, but good for children.","Housed in two buildings. The main building was quite large, but a lot of rooms were closed off.  Some of the exhibits were quite interesting, but there were not enough for such a large building.<br/>The second building was across the street, contains several interactive exhibits for children.<br/>Singaporeans and those holding PRs enter for free.  Others are S$10.<br/>I would recommend this for families with young children.<br/>Take a walk around the neighborhood, lots of unique restaurants around."
,,,,,,
Simon M,244,Aug-16,Aug-16,40,Interesting place. Worth a visit,Beautiful old building housing many different exhibition rooms. Exhibitions are temporary and change every few months. Worth checking before you go that it interests you. Free for Singapore citizens and permanent residents.
,,,,,,
Y6958LGmichaelj,39,Aug-16,Aug-16,20,"Mostly closed down , very little to see.","We were very excited to arrange and attend.. Ground floor two exhibits open rest closed for special function.<br/>2nd floor 2 small exit rooms open , rest closed for installation, 3rd floor closed for update.finally bundled off to building 8 down the road.. Childrens weak interactions exhibit,cartoons and small kids fun centre one beautiful old display of cultural heritage and another pertinent <br/>Display of thousands of hanging ocean Rubbish pieces .<br/>All so sad a wonderful old unique building feeding self egos rather than  the community.<br/>So wish 50/ off photos were really on show<br/>Don't waste your money here,"
,,,,,,
